,Facebook MMS-LID-1024,SpeechBrain ECAPA LID,Facebook MMS-1B-All
Facebook MMS-LID-1024,1.0,0.0,1.0
SpeechBrain ECAPA LID,0.0,1.0,0.6835490527105609
Facebook MMS-1B-All,1.0,0.6835490527105609,1.0
