,facebook/mms-lid-1024,speechbrain/lang-id-voxlingua107-ecapa,facebook/mms-1b-all
facebook/mms-lid-1024,1.0,0.0,1.0
speechbrain/lang-id-voxlingua107-ecapa,0.0,1.0,0.6835490527105609
facebook/mms-1b-all,1.0,0.6835490527105609,1.0
