model,true_lang,n,top1_accuracy,top3_accuracy,mean_confidence
MMS-LID,or,108,0.0,0.0,0.9955735355615616
Whisper-small,as,256,0.0,0.0,0.6554944794042967
Whisper-small,bn,464,0.978448275862069,0.978448275862069,0.8335677496767764
Whisper-small,hi,97,1.0,1.0,0.95135711087394
Whisper-small,ta,539,0.9183673469387755,0.9183673469387755,0.7955160599913801
Whisper-small,te,95,0.9578947368421052,0.9578947368421052,0.895393612196571
